N,trial,seed,k,cap,tw,no_local,sa_time,cost,runtime_sec
100,1,42,20,100,0,0,10.0,1403.97,10.0779
100,2,43,20,100,0,0,10.0,1447.681,10.0689
100,3,44,20,100,0,0,10.0,1400.6811,10.0693
250,1,42,20,100,0,0,10.0,2390.4387,10.3129
250,2,43,20,100,0,0,10.0,2334.7658,10.2554
250,3,44,20,100,0,0,10.0,2405.9994,10.4206
500,1,42,20,100,0,0,10.0,2232.3885,10.7685
500,2,43,20,100,0,0,10.0,2228.2173,10.7647
500,3,44,20,100,0,0,10.0,1989.5689,10.6575
1000,1,42,20,100,0,0,10.0,2021.5933,13.2456
1000,2,43,20,100,0,0,10.0,2247.8066,13.2843
1000,3,44,20,100,0,0,10.0,2205.0276,13.1843
